phase	duration	avg. energy	#1/2 cycles	elapsed time	lifetime (sl)	lifetime (amp^2)	energy change	coil energy	energy loss	(energy change+energy loss) / (coil energy)
26.5	5	6.555	358	304.212	940	990	4.102	22.641	2.357	0.286
26.5	5	5.769	386	391.42	341.1	365.7	4.615	22.562	2.258	0.3
26.5	5	6.344	367	373.097	375.2	415.8	6.716	22.572	2.367	0.4
30	8	7.011	175	179.2	211.8	220.1	6.302	14.165	1.256	0.53
30	10	6.784	251	255.47	326.2	373.6	5.785	23.851	1.733	0.32
30	15	7.641	147	200.219	337.2	340	6.212	21.032	1.53	0.37
45	8	5.311	523	533.837	31667.2	3408.3	1.321	18.577	2.835	0.22
45	12	5.851	143	145	798.3	808.9	1.784	6.492	0.8488	0.41
45	14	3.326	115	117.67	326.1	226	0.881	8.831	0.341	0.14
50	8	4.456	114	113.68	1076.1	754.504	0.632	3.154	0.507	0.4
50	12	2.875	145	145.3	430.7	157.2	3.232	8.718	0.418	0.32
50	14	3.03	125	127.978	716.4	212	2.103	8.593	0.394	0.2
26	14	7.491	139	141.6	158.6	174.4	6.295	19.708	1.061	0.37
