time (s)	coil I (A)	last det (V)	int current (uC)
11902.822906	1.096304	0.398201	505.395996
11902.823819	1.524529	0.398201	1897.290894
11902.824702	1.512957	0.398201	3233.231445
11902.825684	1.471688	0.398201	4678.429199
11902.826642	1.431980	0.398201	6050.266113
11902.827541	1.395615	0.398201	7304.924316
11902.828458	1.360763	0.398201	8552.744141
11902.829395	1.325120	0.398201	9794.380859
11902.830336	1.291304	0.398201	11009.498047
11902.831226	1.261117	0.398201	12131.892578
11902.832152	1.230634	0.398201	13271.458984
11902.833103	1.199923	0.398201	14412.585937
11902.833983	1.172032	0.398201	15443.974609
11902.834893	1.144259	0.398201	16485.250000
11902.835853	1.120463	0.398201	17560.894531
11902.836784	0.475774	0.398201	18003.839844
11902.837660	0.086429	0.398201	18079.552734
11902.838584	0.084598	0.398201	18157.720703
11902.839526	0.084672	0.398201	18237.480469
11902.840448	0.084705	0.398201	18315.578125
11902.841311	0.084723	0.398201	18388.693359
11902.842268	0.084679	0.398201	18469.730469
11902.843221	0.084708	0.398201	18550.457031
11902.844110	0.084694	0.398201	18625.750000
11902.845021	0.084690	0.398201	18702.902344
11902.845944	0.084694	0.398201	18781.074219
11903.700456	1.083270	0.461958	491.804718
11903.701341	1.521951	0.461958	1838.730957
11903.702204	1.515117	0.461958	3146.277344
11903.703194	1.474036	0.461958	4605.572754
11903.704127	1.434360	0.461958	5943.831055
11903.705026	1.398365	0.461958	7200.961914
11903.705949	1.362484	0.461958	8458.535156
11903.706901	1.327189	0.461958	9722.018555
11903.707827	1.293629	0.461958	10919.918945
11903.708715	1.263040	0.461958	12041.498047
11903.709695	1.231820	0.461958	13248.681641
11903.710637	1.200322	0.461958	14379.384766
11903.711556	1.171384	0.461958	15455.886719
11903.712426	1.144189	0.461958	16451.332031
11903.713399	1.120426	0.461958	17541.505859
11903.714369	0.453175	0.461958	17981.085937
11903.715240	0.086202	0.461958	18056.167969
11903.716148	0.084727	0.461958	18133.099609
11903.717102	0.084701	0.461958	18213.904297
11903.717990	0.084771	0.461958	18289.179687
11903.718894	0.084686	0.461958	18365.736328
11903.719836	0.084609	0.461958	18445.437500
11903.720767	0.084683	0.461958	18524.277344
11903.721655	0.084690	0.461958	18599.482422
11903.722585	0.084661	0.461958	18678.216797
11903.723544	0.084672	0.461958	18759.416016
11904.854541	1.090203	0.419225	550.552368
11904.855421	1.524511	0.419225	1892.121582
11904.856304	1.512817	0.419225	3227.939453
11904.857381	1.467905	0.419225	4808.873535
11904.858348	1.427710	0.419225	6189.468750
11904.859210	1.392751	0.419225	7390.020508
11904.860243	1.353406	0.419225	8788.088867
11904.861285	1.315199	0.419225	10158.526367
11904.862171	1.283214	0.419225	11295.454102
11904.863101	1.251775	0.419225	12459.604492
11904.864181	1.216967	0.419225	13773.928711
11904.865125	1.186454	0.419225	14893.941406
11904.865989	1.159285	0.419225	15895.563477
11904.867022	1.130233	0.419225	17063.093750
11904.868051	0.820309	0.419225	17907.191406
11904.868941	0.105641	0.419225	18001.210937
11904.869897	0.084624	0.419225	18082.111328
11904.870951	0.084683	0.419225	18171.367187
11904.871877	0.084672	0.419225	18249.773437
11904.872742	0.084642	0.419225	18322.988281
11904.873794	0.084734	0.419225	18412.128906
11904.874792	0.084683	0.419225	18496.642578
11904.875682	0.084613	0.419225	18571.947266
11904.876630	0.084705	0.419225	18652.248047
11904.877689	0.084650	0.419225	18741.892578
11905.734194	1.126062	0.469265	612.577759
11905.735132	1.527250	0.469265	2045.137939
11905.736057	1.508415	0.469265	3440.422363
11905.736926	1.469934	0.469265	4717.794922
11905.737965	1.427640	0.469265	6201.113281
11905.738846	1.391781	0.469265	7427.272461
11905.739721	1.358097	0.469265	8615.607422
11905.740686	1.322838	0.469265	9892.146484
11905.741643	1.287766	0.469265	11124.539062
11905.742564	1.256627	0.469265	12281.892578
11905.743441	1.228037	0.469265	13358.880859
11905.744463	1.195261	0.469265	14580.437500
11905.745369	1.166609	0.469265	15637.384766
11905.746249	1.139974	0.469265	16640.562500
11905.747154	1.113801	0.469265	17648.552734
11905.748175	0.270385	0.469265	17924.615234
11905.749094	0.084554	0.469265	18002.320312
11905.749968	0.084635	0.469265	18076.291016
11905.750964	0.084617	0.469265	18160.568359
11905.751866	0.084609	0.469265	18236.886719
11905.752774	0.084620	0.469265	18313.722656
11905.753632	0.084664	0.469265	18386.365234
11905.754641	0.084551	0.469265	18471.677734
11905.755535	0.084584	0.469265	18547.294922
11905.756411	0.084620	0.469265	18621.421875
11906.887103	1.027445	0.419024	437.691589
11906.888024	1.518094	0.419024	1835.856445
11906.888977	1.513030	0.419024	3277.773926
11906.889922	1.472340	0.419024	4669.135254
11906.890800	1.435558	0.419024	5929.555176
11906.891716	1.397776	0.419024	7209.917969
11906.892670	1.360983	0.419024	8508.294922
11906.893603	1.326515	0.419024	9745.933594
11906.894480	1.294303	0.419024	10881.037109
11906.895458	1.261523	0.419024	12114.806641
11906.896409	1.230549	0.419024	13285.058594
11906.897313	1.200630	0.419024	14370.427734
11906.898182	1.172798	0.419024	15389.588867
11906.899148	1.143651	0.419024	16494.355469
11906.900082	1.120964	0.419024	17541.335937
11906.900948	0.547866	0.419024	18015.789062
11906.901922	0.086891	0.419024	18100.419922
11906.902854	0.084628	0.419024	18179.292969
11906.903743	0.084540	0.419024	18254.449219
11906.904657	0.084628	0.419024	18331.798828
11906.905588	0.084587	0.419024	18410.548828
11906.906524	0.084606	0.419024	18489.740234
11906.907409	0.084587	0.419024	18564.599609
11906.908319	0.084580	0.419024	18641.568359
11906.909274	0.084617	0.419024	18722.376953
11906.910193	0.084617	0.419024	18800.140625
11907.769833	1.058514	0.484694	491.150726
11907.770725	1.522438	0.484694	1849.165283
11907.771649	1.513630	0.484694	3247.759766
11907.772594	1.472944	0.484694	4639.692383
11907.773526	1.433291	0.484694	5975.519531
11907.774418	1.397344	0.484694	7221.950195
11907.775352	1.361111	0.484694	8493.227539
11907.776300	1.326130	0.484694	9750.399414
11907.777240	1.292322	0.484694	10965.181641
11907.778109	1.262043	0.484694	12061.897461
11907.779060	1.231333	0.484694	13232.895508
11907.779990	1.200725	0.484694	14349.570312
11907.780876	1.172897	0.484694	15388.756836
11907.781840	1.142860	0.484694	16490.474609
11907.782803	1.119423	0.484694	17568.478516
11907.783736	0.438812	0.484694	17977.890625
11907.784598	0.086279	0.484694	18052.263672
11907.785581	0.084580	0.484694	18135.406250
11907.786523	0.084635	0.484694	18215.132812
11907.787412	0.084650	0.484694	18290.386719
11907.788327	0.084723	0.484694	18367.908203
11907.789282	0.084628	0.484694	18448.728516
11907.790195	0.084558	0.484694	18525.929687
11907.791063	0.084628	0.484694	18599.386719
11907.791981	0.084558	0.484694	18677.011719
11907.792940	0.084569	0.484694	18758.113281
11908.919849	1.132372	0.419435	595.627625
11908.920895	1.528381	0.419435	2194.314453
11908.921788	1.505552	0.419435	3538.772217
11908.922716	1.465272	0.419435	4898.544922
11908.923786	1.421136	0.419435	6419.161133
11908.924731	1.383343	0.419435	7726.420898
11908.925602	1.349700	0.419435	8902.009766
11908.926666	1.310896	0.419435	10296.802734
11908.927681	1.275271	0.419435	11591.203125
11908.928584	1.244927	0.419435	12715.372070
11908.929562	1.213854	0.419435	13902.521484
11908.930629	1.179672	0.419435	15161.231445
11908.931551	1.150917	0.419435	16222.376953
11908.932420	1.126586	0.419435	17201.378906
11908.933509	0.643077	0.419435	17901.689453
11908.934494	0.087642	0.419435	17988.015625
11908.935385	0.084606	0.419435	18063.398437
11908.936386	0.084708	0.419435	18148.191406
11908.937416	0.084653	0.419435	18235.384766
11908.938306	0.084580	0.419435	18310.660156
11908.939163	0.084642	0.419435	18383.199219
11908.940256	0.084639	0.419435	18475.708984
11908.941230	0.084587	0.419435	18558.097656
11908.942085	0.084580	0.419435	18630.414062
11908.943177	0.084672	0.419435	18722.875000
11909.801416	1.039497	0.493786	451.141754
11909.802288	1.518999	0.493786	1775.708862
11909.803264	1.513096	0.493786	3252.490234
11909.804276	1.469626	0.493786	4739.751953
11909.805165	1.432365	0.493786	6013.124023
11909.806032	1.396523	0.493786	7223.909668
11909.807113	1.355775	0.493786	8689.502930
11909.808052	1.320729	0.493786	9929.666992
11909.808933	1.289260	0.493786	11065.504883
11909.809908	1.256550	0.493786	12290.641602
11909.810921	1.223258	0.493786	13529.801758
11909.811802	1.194577	0.493786	14582.223633
11909.812666	1.166851	0.493786	15590.382812
11909.813746	1.135338	0.493786	16816.548828
11909.814677	1.083230	0.493786	17825.035156
11909.815548	0.237345	0.493786	18031.761719
11909.816505	0.084668	0.493786	18112.789062
11909.817530	0.084650	0.493786	18199.554687
11909.818426	0.084562	0.493786	18275.322266
11909.819287	0.084554	0.493786	18348.123047
11909.820331	0.084598	0.493786	18436.443359
11909.821269	0.084558	0.493786	18515.759766
11909.822158	0.084584	0.493786	18590.955078
11909.823095	0.084624	0.493786	18670.248047
11909.824125	0.084580	0.493786	18757.365234
11910.952381	1.030609	0.429925	440.070099
11910.953263	1.519358	0.429925	1780.143799
11910.954175	1.515732	0.429925	3162.491699
11910.955142	1.474713	0.429925	4588.539062
11910.956075	1.435569	0.429925	5927.924805
11910.956943	1.399808	0.429925	7142.958496
11910.957904	1.363151	0.429925	8452.946289
11910.958843	1.328016	0.429925	9699.953125
11910.959763	1.294622	0.429925	10891.004883
11910.960626	1.263992	0.429925	11981.830078
11910.961590	1.232600	0.429925	13170.056641
11910.962538	1.202117	0.429925	14309.663086
11910.963431	1.173750	0.429925	15357.822266
11910.964349	1.146226	0.429925	16410.056641
11910.965323	1.121737	0.429925	17502.628906
11910.966223	0.556853	0.429925	18003.796875
11910.967108	0.088400	0.429925	18082.031250
11910.968075	0.084510	0.429925	18163.751953
11910.969018	0.084540	0.429925	18243.472656
11910.969893	0.084576	0.429925	18317.476562
11910.970791	0.084562	0.429925	18393.412109
11910.971749	0.084569	0.429925	18474.429687
11910.972671	0.084573	0.429925	18552.406250
11910.973550	0.084587	0.429925	18626.757812
11910.974473	0.084609	0.429925	18704.851562
11910.975412	0.084529	0.429925	18784.224609
11911.835135	1.078261	0.507804	531.582458
11911.836094	1.524467	0.507804	1993.545898
11911.837024	1.509595	0.507804	3397.468994
11911.837886	1.471366	0.507804	4665.786133
11911.838832	1.432090	0.507804	6020.542969
11911.839794	1.393645	0.507804	7361.229492
11911.840687	1.358800	0.507804	8574.637695
11911.841593	1.325750	0.507804	9775.766602
11911.842526	1.291047	0.507804	10980.313477
11911.843490	1.258429	0.507804	12193.439453
11911.844382	1.229630	0.507804	13290.269531
11911.845313	1.199264	0.507804	14406.784180
11911.846263	1.169722	0.507804	15518.019531
11911.847152	1.142435	0.507804	16533.644531
11911.848081	1.120104	0.507804	17574.220703
11911.849021	0.455863	0.507804	18002.732422
11911.849940	0.085540	0.507804	18081.343750
11911.850814	0.084598	0.507804	18155.283203
11911.851767	0.084551	0.507804	18235.859375
11911.852721	0.084642	0.507804	18316.607422
11911.853637	0.084639	0.507804	18394.136719
11911.854505	0.084609	0.507804	18467.578125
11911.855462	0.084613	0.507804	18548.552734
11911.856412	0.084580	0.507804	18628.904297
11911.857301	0.084580	0.507804	18704.095703
11911.858227	0.084657	0.507804	18782.488281
11912.985021	1.024255	0.438453	436.332733
11912.986053	1.522302	0.438453	2007.348633
11912.987104	1.504845	0.438453	3588.940918
11912.987991	1.465605	0.438453	4888.933105
11912.988883	1.427472	0.438453	6162.238281
11912.989982	1.384570	0.438453	7683.880859
11912.990933	1.348304	0.438453	8966.118164
11912.991798	1.315990	0.438453	10104.449219
11912.992822	1.279647	0.438453	11414.807617
11912.993871	1.244883	0.438453	12720.689453
11912.994758	1.215806	0.438453	13799.109375
11912.995714	1.185322	0.438453	14932.277344
11912.996777	1.152279	0.438453	16157.150391
11912.997713	1.127033	0.438453	17212.052734
11912.998582	0.840498	0.438453	17942.445312
11912.999652	0.094871	0.438453	18043.957031
11913.000650	0.084587	0.438453	18128.375000
11913.001538	0.084635	0.438453	18203.531250
11913.002501	0.084653	0.438453	18285.052734
11913.003550	0.084701	0.438453	18373.904297
11913.004464	0.084635	0.438453	18451.259766
11913.005326	0.084694	0.438453	18524.265625
11913.006412	0.084811	0.438453	18616.371094
11913.007400	0.084697	0.438453	18700.052734
11913.008297	0.084661	0.438453	18775.994141
11913.868753	1.046400	0.519281	457.276886
11913.869619	1.518655	0.519281	1772.431885
11913.870672	1.510173	0.519281	3362.644531
11913.871545	1.471326	0.519281	4647.111816
11913.872460	1.433500	0.519281	5958.764160
11913.873341	1.396487	0.519281	7189.068848
11913.874339	1.359111	0.519281	8545.461914
11913.875258	1.325413	0.519281	9763.515625
11913.876133	1.293376	0.519281	10895.219727
11913.877155	1.259000	0.519281	12181.917969
11913.878048	1.229447	0.519281	13279.814453
11913.878967	1.199773	0.519281	14382.406250
11913.879834	1.171805	0.519281	15398.361328
11913.880832	1.142333	0.519281	16538.410156
11913.881754	1.119924	0.519281	17570.980469
11913.882622	0.508905	0.519281	18012.710937
11913.883651	0.085774	0.519281	18100.972656
11913.884542	0.084595	0.519281	18176.345703
11913.885449	0.084606	0.519281	18253.083984
11913.886325	0.084562	0.519281	18327.160156
